,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,0,1.1071730592927789,0.8895217992072844,52.21692663200462,64.28262124711316
1,1,0.604730507553674,0.6415999638428589,77.28552859618716,76.28464203233256
2,2,0.3261867120048512,0.5643854599196558,88.46584344309647,80.9324480369515
3,3,0.20414168742331468,0.5403674105160782,93.02426343154247,82.68620092378754
4,4,0.14169004106443742,0.5673487210112859,95.23035817446562,83.89867205542726
5,5,0.10562750271792312,0.5757647574041469,96.44352975158867,84.93071593533487
6,6,0.0850002714993941,0.5576894223785747,97.25411611785096,85.73903002309468
7,7,0.06878852089922395,0.5617563274810542,97.74155112651647,85.9555427251732
8,8,0.0591952054755021,0.5837646309271165,98.0791450028885,86.46795612009238
9,9,0.05017454983184455,0.6228499081782006,98.3896591565569,86.75663972286374
10,10,0.045855017590923794,0.6426510879010802,98.52686308492201,86.84324480369516
11,11,0.0423607951019513,0.627316362056416,98.59907567879839,87.17523094688222
12,12,0.0384649750941799,0.6689858359242555,98.74891681109186,86.95871824480369
13,13,0.03424815462039818,0.6502125696347331,98.86626227614096,87.46391454965358
14,14,0.032322650163762325,0.6683312336314924,98.88792605430386,87.21131639722863
