,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy
0,0,1.0075106768551967,0.7551672774222927,58.75758232235702,71.42032332563511
1,1,0.46851360179582885,0.4896251652260713,83.24667822068169,82.68620092378754
2,2,0.20974328059268388,0.44079513819006383,92.84192663200463,85.79676674364896
3,3,0.12473123400231136,0.4574180468075369,95.60766897746967,86.78550808314087
4,4,0.08736373005926458,0.4654344399080571,97.01761987290584,87.0886258660508
5,5,0.0705419216187091,0.48074378819906854,97.40215193529752,87.55773672055427
6,6,0.06261098051467,0.5000400668332475,97.83001155401502,87.7742494226328
7,7,0.05165988088445722,0.49587580785609664,98.17843731946851,88.18562355658199
8,8,0.05060039058249182,0.4906578331304699,98.16218948584633,88.07015011547344
9,9,0.04609586206059281,0.5340483004510119,98.37702195262854,87.93302540415704
10,10,0.04555384446528984,0.5414370596791798,98.3896591565569,88.15675519630484
11,11,0.04288309977743641,0.5220211331749912,98.43118139803582,88.1784064665127
12,12,0.037655446753987666,0.5471481564302157,98.68212016175622,88.25057736720554
13,13,0.042306107557595875,0.5143717949343397,98.47450895436164,88.50317551963049
14,14,0.03681993042174174,0.5202705027414841,98.64601386481803,88.38048498845265
